paramname;in;out;alternative;contextIdentifier
anztourenvorhaupttour;yes;no;no;day
anztourennachhaupttour;yes;no;no;day
taghat1tour;yes;no;no;day
taghat2touren;yes;no;no;day
taghattakt;yes;no;no;day
tourhat1akt;yes;no;no;tour
alter_10bis17;yes;no;no;default
tourtyp_work;yes;no;no;tour
tag_sa;yes;no;no;day
tag_so;yes;no;no;day
dauer_akt_in_tour_2bis4std;yes;no;no;tour
dauer_akt_in_tour_4bis6std;yes;no;no;tour
dauer_akt_in_tour_6bis8std;yes;no;no;tour
dauer_akt_in_tour_8bis10std;yes;no;no;tour
dauer_akt_in_tour_10bis12std;yes;no;no;tour
dauer_akt_vorht_tag_1bis120;yes;no;no;day
yes;no;yes;yes;tour
no;no;yes;yes;tour
