paramname;in;alternative;contextIdentifier
male;yes;no;default
dauer_akt_1bis14;yes;no;activity
dauer_akt_15bis29;yes;no;activity
dauer_akt_30bis59;yes;no;activity
dauer_akt_60bis119;yes;no;activity
dauer_akt_120bis179;yes;no;activity
dauer_akt_180bis239;yes;no;activity
beruf_vollzeit;yes;no;default
beruf_teilzeit;yes;no;default
beruf_schueler;yes;no;default
tag_fr;yes;no;day
tag_sa;yes;no;day
tag_so;yes;no;day
alter_10bis17;yes;no;default
alter_18bis25;yes;no;default
11;no;yes;activity
41;no;yes;activity
42;no;yes;activity
