paramname;in;alternative;contextIdentifier
male;yes;no;default
dauer_akt_1bis14;yes;no;activity
dauer_akt_15bis29;yes;no;activity
dauer_akt_30bis59;yes;no;activity
dauer_akt_60bis119;yes;no;activity
dauer_akt_120bis179;yes;no;activity
dauer_akt_180bis239;yes;no;activity
dauer_akt_240bis299;yes;no;activity
dauer_akt_300bis359;yes;no;activity
dauer_akt_360bis419;yes;no;activity
dauer_akt_420bis479;yes;no;activity
dauer_akt_480bis539;yes;no;activity
beruf_vollzeit;yes;no;default
beruf_teilzeit;yes;no;default
beruf_schueler;yes;no;default
beruf_azubi;yes;no;default
alter_10bis17;yes;no;default
alter_18bis25;yes;no;default
alter_26bis35;yes;no;default
alter_51bis60;yes;no;default
ersteaktamtag;yes;no;activity
tag_fr;yes;no;day
tag_sa;yes;no;day
tag_so;yes;no;day
12;no;yes;activity
51;no;yes;activity
52;no;yes;activity
53;no;yes;activity
77;no;yes;activity
