Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;1;0
Grundnutzen;2;-0.7873
Grundnutzen;3;-1.3844
Grundnutzen;4;-2.9008
Grundnutzen;5;-3.7108
Grundnutzen;6;-5.1068
Grundnutzen;7;-6.2457
Grundnutzen;8;-7.5827
Grundnutzen;9;-9.4730
Grundnutzen;10;-10.9973
Grundnutzen;11;-16.7810
beruf_vollzeit;1;0
beruf_vollzeit;2;-0.4142
beruf_vollzeit;3;-0.3940
beruf_vollzeit;4;-0.3661
beruf_vollzeit;5;-0.5653
beruf_vollzeit;6;-0.4709
beruf_vollzeit;7;-0.4024
beruf_vollzeit;8;-0.2676
beruf_vollzeit;9;-0.2176
beruf_vollzeit;10;-0.0474
beruf_vollzeit;11;0.6226
beruf_teilzeit;1;0
beruf_teilzeit;2;-0.2403
beruf_teilzeit;3;-0.1908
beruf_teilzeit;4;-0.2562
beruf_teilzeit;5;-0.0226
beruf_teilzeit;6;0.0702
beruf_teilzeit;7;0.00854
beruf_teilzeit;8;0.0502
beruf_teilzeit;9;0.0947
beruf_teilzeit;10;0.3358
beruf_teilzeit;11;0.4228
beruf_schueler;1;0
beruf_schueler;2;0.6271
beruf_schueler;3;1.2664
beruf_schueler;4;1.2965
beruf_schueler;5;1.5960
beruf_schueler;6;1.7847
beruf_schueler;7;1.8710
beruf_schueler;8;1.8016
beruf_schueler;9;1.7688
beruf_schueler;10;1.6400
beruf_schueler;11;2.7698
beruf_azubi;1;0
beruf_azubi;2;-0.00183
beruf_azubi;3;0.2334
beruf_azubi;4;0.2225
beruf_azubi;5;0.1934
beruf_azubi;6;0.3168
beruf_azubi;7;0.5544
beruf_azubi;8;0.7938
beruf_azubi;9;0.9333
beruf_azubi;10;1.1665
beruf_azubi;11;2.3771
tourtyp_work;1;0
tourtyp_work;2;-1.0809
tourtyp_work;3;-0.8805
tourtyp_work;4;-0.9542
tourtyp_work;5;-1.6104
tourtyp_work;6;-2.0691
tourtyp_work;7;-2.0719
tourtyp_work;8;-2.3792
tourtyp_work;9;-2.6131
tourtyp_work;10;-3.0540
tourtyp_work;11;-1.8716
tourtyp_education;1;0
tourtyp_education;2;-1.3557
tourtyp_education;3;-1.3047
tourtyp_education;4;-1.2777
tourtyp_education;5;-2.4652
tourtyp_education;6;-3.0246
tourtyp_education;7;-3.3995
tourtyp_education;8;-3.1405
tourtyp_education;9;-3.5776
tourtyp_education;10;-4.1274
tourtyp_education;11;-5.1628
tourtyp_shopping;1;0
tourtyp_shopping;2;-0.0990
tourtyp_shopping;3;-0.3697
tourtyp_shopping;4;-0.9733
tourtyp_shopping;5;-1.1450
tourtyp_shopping;6;-1.1951
tourtyp_shopping;7;-1.3300
tourtyp_shopping;8;-1.6766
tourtyp_shopping;9;-2.2274
tourtyp_shopping;10;-2.9105
tourtyp_shopping;11;-3.3935
tourtyp_transport;1;0
tourtyp_transport;2;-1.0884
tourtyp_transport;3;0.0960
tourtyp_transport;4;-0.2734
tourtyp_transport;5;-0.6798
tourtyp_transport;6;-0.6898
tourtyp_transport;7;-0.9286
tourtyp_transport;8;-0.9109
tourtyp_transport;9;-0.9887
tourtyp_transport;10;-1.1669
tourtyp_transport;11;-0.4501
tag_fr;1;0
tag_fr;2;0.0491
tag_fr;3;0.0957
tag_fr;4;-0.0148
tag_fr;5;0.0526
tag_fr;6;0.0687
tag_fr;7;0.0352
tag_fr;8;-0.0171
tag_fr;9;0.1754
tag_fr;10;0.1771
tag_fr;11;0.6197
tag_sa;1;0
tag_sa;2;0.5417
tag_sa;3;0.5479
tag_sa;4;0.4788
tag_sa;5;0.3166
tag_sa;6;0.2042
tag_sa;7;0.1728
tag_sa;8;0.2281
tag_sa;9;0.3918
tag_sa;10;0.4629
tag_sa;11;1.0371
tag_so;1;0
tag_so;2;0.9172
tag_so;3;1.1703
tag_so;4;0.9506
tag_so;5;1.1003
tag_so;6;0.8011
tag_so;7;0.6307
tag_so;8;0.3799
tag_so;9;0.2290
tag_so;10;0.0221
tag_so;11;0.6841
taghat2akt;1;0
taghat2akt;2;0.6457
taghat2akt;3;0.5722
taghat2akt;4;0.8109
taghat2akt;5;0.8598
taghat2akt;6;0.8775
taghat2akt;7;1.0244
taghat2akt;8;1.1201
taghat2akt;9;1.1658
taghat2akt;10;1.1751
taghat2akt;11;0.9706
taghat3akt;1;0
taghat3akt;2;0.0297
taghat3akt;3;0.0557
taghat3akt;4;0.2456
taghat3akt;5;0.1338
taghat3akt;6;0.2346
taghat3akt;7;0.3150
taghat3akt;8;0.3422
taghat3akt;9;0.3503
taghat3akt;10;0.2919
taghat3akt;11;0.2698
taghat2touren;1;0
taghat2touren;2;1.5041
taghat2touren;3;2.8204
taghat2touren;4;3.4679
taghat2touren;5;4.3567
taghat2touren;6;5.2386
taghat2touren;7;5.9295
taghat2touren;8;6.8726
taghat2touren;9;8.3718
taghat2touren;10;9.8999
taghat2touren;11;16.4723
taghat3touren;1;0
taghat3touren;2;0.7563
taghat3touren;3;1.2965
taghat3touren;4;1.5442
taghat3touren;5;2.1265
taghat3touren;6;2.5023
