paramname;in;alternative;contextIdentifier
touristhaupttour;yes;no;tour
anztourenamtag;yes;no;day
tour2destages;yes;no;tour
tour3destages;yes;no;tour
dauer_akt_tag_4bis6std;yes;no;day
dauer_akt_tag_6bis8std;yes;no;day
dauer_akt_tag_8bis10std;yes;no;day
dauer_akt_tag_10bis12std;yes;no;day
dauer_akt_tag_12bis14std;yes;no;day
endetourvorher_Std_12;yes;no;tour
endetourvorher_Std_13;yes;no;tour
endetourvorher_Std_14;yes;no;tour
endetourvorher_Std_15;yes;no;tour
endetourvorher_Std_16;yes;no;tour
endetourvorher_Std_17;yes;no;tour
endetourvorher_Std_18;yes;no;tour
endetourvorher_Std_19;yes;no;tour
endetourvorher_Std_20;yes;no;tour
beruf_schueler;yes;no;default
1;no;yes;tour
2;no;yes;tour
3;no;yes;tour
4;no;yes;tour
5;no;yes;tour
6;no;yes;tour
7;no;yes;tour
8;no;yes;tour
9;no;yes;tour
10;no;yes;tour
