paramname;in;alternative;contextIdentifier
beruf_teilzeit;yes;no;default
beruf_schueler;yes;no;default
beruf_azubi;yes;no;default
alter_26bis35;yes;no;default
alter_36bis50;yes;no;default
alter_51bis60;yes;no;default
alter_61bis70;yes;no;default
Raumtyp_mobitopp_rural;yes;no;default
pendeln_ueber50km;yes;no;default
pendeln_0bis5km;yes;no;default
haushalthatkinderunter10;yes;no;default
1;no;yes;person
2;no;yes;person
3;no;yes;person
4;no;yes;person
5;no;yes;person
6;no;yes;person
