paramname;in;out;alternative;contextIdentifier
anzakt_woche_w;yes;no;no;person
anzakt_woche_l;yes;no;no;person
anzakt_woche_s;yes;no;no;person
pendeln_0bis5km;yes;no;no;default
beruf_rentner;yes;no;no;default
tagemit_lakt_1;yes;no;no;person
tagemit_lakt_2;yes;no;no;person
tagemit_lakt_3;yes;no;no;person
tagemit_lakt_4;yes;no;no;person
tagemit_lakt_5;yes;no;no;person
1;no;yes;yes;person
2;no;yes;yes;person
3;no;yes;yes;person
4;no;yes;yes;person
5;no;yes;yes;person
6;no;yes;yes;person
