paramname;in;out;alternative;contextIdentifier
beruf_vollzeit;yes;no;no;default
beruf_teilzeit;yes;no;no;default
beruf_schueler;yes;no;no;default
beruf_azubi;yes;no;no;default
alter_26bis35;yes;no;no;default
alter_36bis50;yes;no;no;default
alter_51bis60;yes;no;no;default
alter_61bis70;yes;no;no;default
Raumtyp_mobitopp_conurbation;yes;no;no;default
Raumtyp_mobitopp_rural;yes;no;no;default
pendeln_ueber50km;yes;no;no;default
pendeln_0bis5km;yes;no;no;default
haushalthatkinderunter10;yes;no;no;default
male;yes;no;no;default
1;no;yes;yes;person
2;no;yes;yes;person
3;no;yes;yes;person
4;no;yes;yes;person
