paramname;in;out;alternative;contextIdentifier
beruf_vollzeit;yes;no;no;default
beruf_teilzeit;yes;no;no;default
beruf_schueler;yes;no;no;default
beruf_azubi;yes;no;no;default
tourtyp_work;yes;no;no;tour
tourtyp_education;yes;no;no;tour
tourtyp_shopping;yes;no;no;tour
tourtyp_transport;yes;no;no;tour
tag_fr;yes;no;no;day
tag_sa;yes;no;no;day
tag_so;yes;no;no;day
taghat2akt;yes;no;no;day
taghat3akt;yes;no;no;day
taghat2touren;yes;no;no;day
taghat3touren;yes;no;no;day
dauer_akt_in_tour_0bis2std;yes;no;no;tour
dauer_akt_in_tour_2bis4std;yes;no;no;tour
dauer_akt_in_tour_4bis6std;yes;no;no;tour
touristhaupttour;yes;no;no;tour
endetourvorher_Std_12;yes;no;no;tour
endetourvorher_Std_13;yes;no;no;tour
endetourvorher_Std_14;yes;no;no;tour
endetourvorher_Std_15;yes;no;no;tour
endetourvorher_Std_16;yes;no;no;tour
endetourvorher_Std_17;yes;no;no;tour
endetourvorher_Std_18;yes;no;no;tour
1;no;yes;yes;tour
2;no;yes;yes;tour
3;no;yes;yes;tour
4;no;yes;yes;tour
5;no;yes;yes;tour
6;no;yes;yes;tour
7;no;yes;yes;tour
8;no;yes;yes;tour
9;no;yes;yes;tour
10;no;yes;yes;tour
11;no;yes;yes;tour
