paramname;in;alternative;contextIdentifier
beruf_rentner;yes;no;default
beruf_schueler;yes;no;default
beruf_azubi;yes;no;default
anzahlkinder_u18;yes;no;default
haushalthatkinderunter10;yes;no;default
tag_fr;yes;no;day
tag_sa;yes;no;day
tag_so;yes;no;day
haupttour_work;yes;no;day
haupttour_education;yes;no;day
aktzweck_leisure;yes;no;activity
aktzweck_shopping;yes;no;activity
aktzweck_transport;yes;no;activity
aktzweck_work;yes;no;activity
dauer_akt;yes;no;activity
start_stunde_akt_0_5;yes;no;activity
start_stunde_akt_6_8;yes;no;activity
start_stunde_akt_10_12;yes;no;activity
start_stunde_akt_13_15;yes;no;activity
start_stunde_akt_16_18;yes;no;activity
start_stunde_akt_19_21;yes;no;activity
start_stunde_akt_22_23;yes;no;activity
letztetourdestages;yes;no;tour
ersteaktamtag;yes;no;activity
1;no;yes;activity
2;no;yes;activity
3;no;yes;activity
4;no;yes;activity
