paramname;in;out;alternative;contextIdentifier
male;yes;no;no;default
dauer_akt_1bis14;yes;no;no;activity
dauer_akt_15bis29;yes;no;no;activity
dauer_akt_30bis59;yes;no;no;activity
dauer_akt_60bis119;yes;no;no;activity
dauer_akt_120bis179;yes;no;no;activity
dauer_akt_180bis239;yes;no;no;activity
tag_fr;yes;no;no;day
tag_sa;yes;no;no;day
tag_so;yes;no;no;day
beruf_vollzeit;yes;no;no;default
beruf_teilzeit;yes;no;no;default
beruf_schueler;yes;no;no;default
alter_10bis17;yes;no;no;default
alter_18bis25;yes;no;no;default
11;no;yes;yes;activity
41;no;yes;yes;activity
42;no;yes;yes;activity
