paramname;in;out;alternative;contextIdentifier
beruf_schueler;yes;no;no;default
beruf_azubi;yes;no;no;default
beruf_rentner;yes;no;no;default
tourtyp_work;yes;no;no;tour
tourtyp_education;yes;no;no;tour
tourtyp_shopping;yes;no;no;tour
tourtyp_transport;yes;no;no;tour
tag_sa;yes;no;no;day
tag_so;yes;no;no;day
dauer_akt_in_tour_0bis2std;yes;no;no;tour
dauer_akt_in_tour_2bis4std;yes;no;no;tour
dauer_akt_in_tour_4bis6std;yes;no;no;tour
tourhat1akt;yes;no;no;tour
taghat2touren;yes;no;no;day
taghat3touren;yes;no;no;day
tour1destages;yes;no;no;tour
tour2destages;yes;no;no;tour
haupttour_work;yes;no;no;day
haupttour_shopping;yes;no;no;day
startzeitraum_ht_5;yes;no;no;day
startzeitraum_ht_6;yes;no;no;day
startzeitraum_ht_7;yes;no;no;day
startzeitraum_ht_8;yes;no;no;day
startzeitraum_ht_9;yes;no;no;day
startzeitraum_ht_10;yes;no;no;day
startzeitraum_ht_11;yes;no;no;day
startzeitraum_ht_12;yes;no;no;day
startzeitraum_ht_13;yes;no;no;day
1;no;yes;yes;tour
2;no;yes;yes;tour
3;no;yes;yes;tour
4;no;yes;yes;tour
5;no;yes;yes;tour
6;no;yes;yes;tour
7;no;yes;yes;tour
8;no;yes;yes;tour
9;no;yes;yes;tour
10;no;yes;yes;tour
11;no;yes;yes;tour
