paramname;in;out;alternative;contextIdentifier
male;yes;no;no;default
dauer_akt_1bis14;yes;no;no;activity
dauer_akt_15bis29;yes;no;no;activity
dauer_akt_30bis59;yes;no;no;activity
dauer_akt_60bis119;yes;no;no;activity
dauer_akt_120bis179;yes;no;no;activity
dauer_akt_180bis239;yes;no;no;activity
dauer_akt_240bis299;yes;no;no;activity
dauer_akt_300bis359;yes;no;no;activity
dauer_akt_360bis419;yes;no;no;activity
dauer_akt_420bis479;yes;no;no;activity
ersteaktintour;yes;no;no;activity
tag_sa;yes;no;no;day
tag_so;yes;no;no;day
beruf_vollzeit;yes;no;no;default
beruf_teilzeit;yes;no;no;default
beruf_azubi;yes;no;no;default
1;no;yes;yes;activity
2;no;yes;yes;activity
